integrator,rtol,atol,energy_rtol,energy_atol,status,reference,time_sec,species_rel_error,thermo_rel_error,max_rel_error
sandu-b,0.005210007309586913,nan,5.210007309586913e-05,nan,PASS,PASS,4.303567339,0.00032203434423405897,2.3798430676369077e-05,0.00032203434423405897
sandu-c,0.005210007309586913,nan,5.210007309586913e-05,nan,PASS,PASS,4.203606869,0.0005955348667764335,2.9856647720609614e-05,0.0005955348667764335
sandu-d,0.005210007309586913,nan,5.210007309586913e-05,nan,PASS,PASS,3.911548247,0.0003789074589741737,5.842554352465724e-05,0.0003789074589741737
ros2s,0.0037606030930863936,nan,3.7606030930863934e-05,nan,PASS,FAIL,3.926454368,0.0069399148854106954,0.0011167141820235158,0.0069399148854106954
ros2,0.0037606030930863936,nan,3.7606030930863934e-05,nan,PASS,FAIL,6.256700715,0.0016989736093732525,4.304912824797305e-05,0.0016989736093732525
sandu-a,0.0037606030930863936,nan,3.7606030930863934e-05,nan,PASS,PASS,4.585376729,0.00019268702923051884,1.5172431925814296e-05,0.00019268702923051884
sandu-b,0.0037606030930863936,nan,3.7606030930863934e-05,nan,PASS,PASS,4.690558231,0.0002207777666895217,6.438863856217446e-06,0.0002207777666895217
sandu-c,0.0037606030930863936,nan,3.7606030930863934e-05,nan,PASS,PASS,4.570096419,0.0004489777776387708,2.478120316118337e-05,0.0004489777776387708
sandu-d,0.0037606030930863936,nan,3.7606030930863934e-05,nan,PASS,PASS,4.119554347,0.0002922089281494827,4.430464842704306e-05,0.0002922089281494827
ros2s,0.002714417616594907,nan,2.714417616594907e-05,nan,PASS,FAIL,4.116400064,0.005074928290436546,0.000847548961769858,0.005074928290436546
ros2,0.002714417616594907,nan,2.714417616594907e-05,nan,PASS,FAIL,6.971452379,0.000993569559784348,4.902827048663277e-05,0.000993569559784348
sandu-a,0.002714417616594907,nan,2.714417616594907e-05,nan,PASS,PASS,5.073938674,0.00011467648936698268,2.824340771118597e-06,0.00011467648936698268
sandu-b,0.002714417616594907,nan,2.714417616594907e-05,nan,PASS,PASS,5.169583269,0.00010179536562453333,1.104179487964393e-06,0.00010179536562453333
sandu-c,0.002714417616594907,nan,2.714417616594907e-05,nan,PASS,PASS,5.047012095,0.00025385695850900893,9.556815043116551e-06,0.00025385695850900893
sandu-d,0.002714417616594907,nan,2.714417616594907e-05,nan,PASS,PASS,4.49605173,0.00011451211253669741,1.77937312246007e-05,0.00011451211253669741
ros2s,0.0019592769603435267,nan,1.959276960343527e-05,nan,PASS,FAIL,4.472232192,0.001793669505633137,0.0003069273125757742,0.001793669505633137
ros2,0.0019592769603435267,nan,1.959276960343527e-05,nan,PASS,PASS,7.973801615,0.0005012382613809813,2.6925186486997662e-05,0.0005012382613809813
sandu-a,0.0019592769603435267,nan,1.959276960343527e-05,nan,PASS,PASS,5.611319621,7.739425231534277e-05,8.940218776915448e-07,7.739425231534277e-05
sandu-b,0.0019592769603435267,nan,1.959276960343527e-05,nan,PASS,PASS,5.632700711,8.947408218336892e-05,1.474704316207475e-07,8.947408218336892e-05
sandu-c,0.0019592769603435267,nan,1.959276960343527e-05,nan,PASS,PASS,5.224124462,0.00017679580845906718,4.482469204884461e-06,0.00017679580845906718
sandu-d,0.0019592769603435267,nan,1.959276960343527e-05,nan,PASS,PASS,4.916903649,8.857477258883692e-05,1.1072289356644036e-05,8.857477258883692e-05
ros2s,0.0014142135623730952,nan,1.4142135623730953e-05,nan,PASS,FAIL,4.71323232,0.003284352181122966,0.0005830157219289772,0.003284352181122966
ros2,0.0014142135623730952,nan,1.4142135623730953e-05,nan,PASS,PASS,8.920084628,0.000420322779644844,3.531076240982091e-05,0.000420322779644844
sandu-a,0.0014142135623730952,nan,1.4142135623730953e-05,nan,PASS,PASS,6.425681592,4.439854135446573e-05,1.854693486961641e-07,4.439854135446573e-05
sandu-b,0.0014142135623730952,nan,1.4142135623730953e-05,nan,PASS,PASS,6.515348658,6.433480090847581e-05,1.3376609854966632e-06,6.433480090847581e-05
sandu-c,0.0014142135623730952,nan,1.4142135623730953e-05,nan,PASS,PASS,5.865409733,0.00012097258885820855,3.452852633671715e-06,0.00012097258885820855
sandu-d,0.0014142135623730952,nan,1.4142135623730953e-05,nan,PASS,PASS,5.476143308,2.734672714019992e-05,3.8717000082519455e-06,2.734672714019992e-05
ros2s,0.0010207847284895003,nan,1.0207847284895003e-05,nan,PASS,PASS,5.322016673,8.909565937957435e-05,1.2933738757786322e-05,8.909565937957435e-05
ros2,0.0010207847284895003,nan,1.0207847284895003e-05,nan,PASS,PASS,10.86809432,0.00014894140932120983,1.4220849582949594e-05,0.00014894140932120983
sandu-a,0.0010207847284895003,nan,1.0207847284895003e-05,nan,PASS,PASS,10.731228301,2.9167140592077846e-05,2.9182467121597517e-07,2.9167140592077846e-05
