integrator,rtol,atol,energy_rtol,energy_atol,status,reference,time_sec,species_rel_error,thermo_rel_error,max_rel_error
sandu-d,0.0031622776601683794,nan,3.1622776601683795e-05,nan,PASS,PASS,4.498999013,0.00014623756760688583,2.243964049582355e-05,0.00014623756760688583
ros2s,0.0021544346900318843,nan,2.1544346900318844e-05,nan,PASS,FAIL,4.452623633,0.005827593679642025,0.0009496570064972296,0.005827593679642025
ros2,0.0021544346900318843,nan,2.1544346900318844e-05,nan,PASS,PASS,7.744036221,0.0007650853463741211,1.9789073917848506e-05,0.0007650853463741211
sandu-a,0.0021544346900318843,nan,2.1544346900318844e-05,nan,PASS,PASS,5.687925193,7.893741853332279e-05,2.8744495410184996e-06,7.893741853332279e-05
sandu-b,0.0021544346900318843,nan,2.1544346900318844e-05,nan,PASS,PASS,5.782823618,9.24905200034844e-05,2.2787543375523853e-07,9.24905200034844e-05
sandu-c,0.0021544346900318843,nan,2.1544346900318844e-05,nan,PASS,PASS,5.512961545,0.00027254829911331317,1.4348290223048897e-05,0.00027254829911331317
sandu-d,0.0021544346900318843,nan,2.1544346900318844e-05,nan,PASS,PASS,4.896879466,0.00011715928341975146,1.7576957942972788e-05,0.00011715928341975146
ros2s,0.0014677992676220691,nan,1.4677992676220692e-05,nan,PASS,FAIL,4.896917066,0.0027914244980470734,0.0004894555390217174,0.0027914244980470734
ros2,0.0014677992676220691,nan,1.4677992676220692e-05,nan,PASS,PASS,10.172235361,0.00019138838611989524,1.2112151213418738e-06,0.00019138838611989524
sandu-a,0.0014677992676220691,nan,1.4677992676220692e-05,nan,PASS,PASS,6.672442588,5.252810272276915e-05,2.979671951755375e-07,5.252810272276915e-05
sandu-b,0.0014677992676220691,nan,1.4677992676220692e-05,nan,PASS,PASS,6.722588895,5.778186235335469e-05,1.4828842313013016e-06,5.778186235335469e-05
sandu-c,0.0014677992676220691,nan,1.4677992676220692e-05,nan,PASS,PASS,6.069339375,0.00016882391139063017,2.4164492846548367e-05,0.00016882391139063017
sandu-d,0.0014677992676220691,nan,1.4677992676220692e-05,nan,PASS,PASS,5.657687785,3.9713789986948915e-05,5.586666759511402e-06,3.9713789986948915e-05
ros2s,0.001,nan,1e-05,nan,PASS,FAIL,5.313080646,0.0015549371898214612,0.00025119057893180266,0.0015549371898214612
ros2,0.001,nan,1e-05,nan,PASS,PASS,11.009105312,0.00022534111847258997,8.051560804271315e-06,0.00022534111847258997
sandu-a,0.001,nan,1e-05,nan,PASS,PASS,8.829165684,2.798009195447638e-05,5.66527980570095e-07,2.798009195447638e-05
sandu-b,0.001,nan,1e-05,nan,PASS,PASS,8.67570238,3.651276481585684e-05,9.00700085126517e-07,3.651276481585684e-05
sandu-c,0.001,nan,1e-05,nan,PASS,PASS,7.299058624,5.605904050080156e-05,1.0062245411823148e-05,5.605904050080156e-05
sandu-d,0.001,nan,1e-05,nan,PASS,PASS,6.472861189,1.4131496290650727e-05,4.939635276843751e-07,1.4131496290650727e-05
